theta_deg,wavelength_nm,LCP_inc_T_total,RCP_inc_T_total,LCP_inc_R_total,RCP_inc_R_total
-90.0,464.0,0.025693496801383414,0.025693496801383414,0.9743065031986161,0.9743065031986161
-90.0,465.0,0.030138967872876305,0.030138967872876305,0.9698610321271234,0.9698610321271234
-90.0,466.0,0.035145352396027944,0.03514535239602792,0.964854647603972,0.9648546476039718
-90.0,467.0,0.04073507418756171,0.04073507418756171,0.959264925812438,0.959264925812438
-90.0,468.0,0.04690150785855944,0.04690150785855942,0.9530984921414404,0.9530984921414405
-90.0,469.0,0.05359490262354491,0.053594902623544875,0.9464050973764546,0.9464050973764546
-90.0,470.0,0.06070767578241046,0.0607076757824104,0.9392923242175893,0.9392923242175893
-90.0,471.0,0.06806258911541764,0.0680625891154176,0.9319374108845826,0.9319374108845827
-90.0,472.0,0.07540913478796231,0.07540913478796225,0.9245908652120379,0.924590865212038
-90.0,473.0,0.08243410766304726,0.08243410766304719,0.9175658923369524,0.9175658923369528
-90.0,474.0,0.08879028640652495,0.0887902864065249,0.9112097135934751,0.911209713593475
-90.0,475.0,0.09414158222366788,0.09414158222366778,0.905858417776332,0.9058584177763321
-90.0,476.0,0.09821539476163052,0.0982153947616304,0.9017846052383691,0.9017846052383692
-90.0,477.0,0.10084729319621073,0.10084729319621062,0.899152706803789,0.8991527068037892
-90.0,478.0,0.10200384538518673,0.10200384538518667,0.8979961546148133,0.8979961546148132
-90.0,479.0,0.10177722766382295,0.10177722766382281,0.8982227723361768,0.898222772336177
-90.0,480.0,0.10035594721696885,0.10035594721696879,0.8996440527830307,0.899644052783031
-90.0,481.0,0.0979835006029189,0.09798350060291884,0.9020164993970808,0.9020164993970812
-90.0,482.0,0.09491782838260548,0.09491782838260542,0.9050821716173942,0.9050821716173947
-90.0,483.0,0.0914002864770104,0.09140028647701036,0.908599713522989,0.9085997135229897
-90.0,484.0,0.08763715519676364,0.08763715519676356,0.912362844803236,0.9123628448032362
-90.0,485.0,0.08379237196838953,0.08379237196838944,0.9162076280316105,0.9162076280316103
