角度(度),T_s_RCWA,T_s_理论,T_p_RCWA,T_p_理论,R_s_RCWA,R_s_理论,R_p_RCWA,R_p_理论
54.0,0.0,0.8668699549487633,0.0,0.9994724342309695,0.9999999999999999,0.13313004505123668,0.9999999999999997,0.000527565769030475
56.0,0.0,0.8541840678877346,0.0,0.9999895576576461,1.0000000000000002,0.14581593211226546,1.0000000000000002,1.0442342353900138e-05
58.0,0.0,0.8397873675402145,0.0,0.9996578216243778,1.0000000000000004,0.16021263245978548,1.0000000000000009,0.00034217837562224035
60.0,0.0,0.8234285119171596,0.0,0.998198062478415,0.9999999999999997,0.17657148808284046,0.9999999999999992,0.0018019375215850236
62.0,0.0,0.8048178434007115,0.0,0.9952550458119316,1.0000000000000002,0.1951821565992885,1.0000000000000002,0.0047449541880683855
64.0,0.0,0.7836219924666366,0.0,0.9903763601935387,1.0000000000000007,0.2163780075333634,0.9999999999999998,0.009623639806461354
66.0,0.0,0.7594579284473713,0.0,0.98298507038497,0.9999999999999998,0.24054207155262872,1.0000000000000004,0.01701492961503
68.0,0.0,0.7318864732833115,0.0,0.9723441040196472,1.0,0.2681135267166886,1.0,0.02765589598035284
70.0,0.0,0.700405322066673,0.0,0.957509607198398,1.0000000000000007,0.29959467793332695,0.9999999999999996,0.0424903928016021
72.0,0.0,0.6644416493723132,0.0,0.9372694598023085,1.0000000000000009,0.3355583506276868,0.9999999999999994,0.06273054019769152
74.0,0.0,0.6233444231171268,0.0,0.9100616462037139,0.9999999999999987,0.37665557688287316,1.0000000000000007,0.0899383537962861
76.0,0.0,0.5763765976493943,0.0,0.8738650102979346,0.9999999999999986,0.4236234023506057,1.0000000000000016,0.12613498970206533
78.0,0.0,0.5227074138507837,0.0,0.8260517414250965,1.000000000000002,0.4772925861492164,0.9999999999999987,0.17394825857490345
80.0,0.0,0.46140509425041953,0.0,0.7631861963666353,1.0000000000000022,0.5385949057495805,0.9999999999999986,0.2368138036333647
