wavelength_nm,LCP_inc_R_total,LCP_inc_T_total,RCP_inc_R_total,RCP_inc_T_total
574.958263772955,0.5323946794748565,0.4676053205251431,0.5323946794748565,0.4676053205251431
575.2921535893155,0.5300768760406643,0.4699231239593358,0.5300768760406643,0.4699231239593358
575.6260434056761,0.5277731784688497,0.47222682153115003,0.5277731784688497,0.47222682153115003
575.9599332220367,0.5254841782679622,0.47451582173203755,0.5254841782679622,0.47451582173203755
576.2938230383974,0.523210463305788,0.4767895366942118,0.523210463305788,0.4767895366942118
576.6277128547579,0.5209526174085336,0.4790473825914662,0.5209526174085336,0.4790473825914662
576.9616026711185,0.5187112199599717,0.48128878004002823,0.5187112199599717,0.48128878004002823
577.2954924874791,0.516486845501092,0.48351315449890775,0.516486845501092,0.48351315449890775
577.6293823038397,0.5142800633308978,0.4857199366691022,0.5142800633308978,0.4857199366691022
577.9632721202004,0.5120914371089191,0.48790856289108053,0.5120914371089191,0.48790856289108053
578.297161936561,0.5099215244600399,0.4900784755399598,0.5099215244600399,0.4900784755399598
578.6310517529215,0.5077708765822657,0.4922291234177341,0.5077708765822657,0.4922291234177341
578.9649415692821,0.5056400378579969,0.4943599621420027,0.5056400378579969,0.4943599621420027
579.2988313856428,0.5035295454694385,0.49647045453056116,0.5035295454694385,0.49647045453056116
579.6327212020033,0.5014399290187241,0.4985600709812754,0.5014399290187241,0.4985600709812754
579.9666110183639,0.49937171015334425,0.5006282898466556,0.49937171015334425,0.5006282898466556
580.3005008347245,0.4973254021974723,0.5026745978025275,0.4973254021974723,0.5026745978025275
580.6343906510851,0.4953015097897567,0.5046984902102432,0.4953015097897567,0.5046984902102432
580.9682804674458,0.49330052852814976,0.50669947147185,0.49330052852814976,0.50669947147185
581.3021702838064,0.49132294462232745,0.5086770553776726,0.49132294462232745,0.5086770553776726
581.636060100167,0.4893692345542444,0.5106307654457551,0.4893692345542444,0.5106307654457551
581.9699499165275,0.4874398647473601,0.5125601352526397,0.4874398647473601,0.5125601352526397
582.3038397328882,0.485535291245036,0.5144647087549638,0.485535291245036,0.5144647087549638
582.6377295492488,0.4836559593986252,0.5163440406013744,0.4836559593986252,0.5163440406013744
582.9716193656093,0.4818023035657123,0.5181976964342873,0.4818023035657123,0.5181976964342873
583.3055091819699,0.4799747468189881,0.5200252531810121,0.4799747468189881,0.5200252531810121
583.6393989983305,0.4781737006661842,0.5218262993338159,0.4781737006661842,0.5218262993338159
583.9732888146912,0.47639956478149725,0.5236004352185024,0.47639956478149725,0.5236004352185024
584.3071786310518,0.4746527267489062,0.5253472732510938,0.4746527267489062,0.5253472732510938
584.6410684474124,0.4729335618177413,0.5270664381822585,0.4729335618177413,0.5270664381822585
584.9749582637729,0.47124243267088073,0.5287575673291192,0.47124243267088073,0.5287575673291192
585.3088480801335,0.46957968920588594,0.5304203107941139,0.46957968920588594,0.5304203107941139
585.6427378964942,0.46794566832937873,0.532054331670621,0.46794566832937873,0.532054331670621
585.9766277128548,0.466340693764937,0.5336593062350629,0.466340693764937,0.5336593062350629
586.3105175292153,0.46476507587476173,0.535234924125238,0.46476507587476173,0.535234924125238
586.6444073455759,0.46321911149532785,0.5367808885046721,0.46321911149532785,0.5367808885046721
586.9782971619366,0.4617030837872152,0.5382969162127849,0.4617030837872152,0.5382969162127849
587.3121869782972,0.46021726209928315,0.5397827379007166,0.46021726209928315,0.5397827379007166
587.6460767946578,0.45876190184732857,0.5412380981526714,0.45876190184732857,0.5412380981526714
587.9799666110184,0.45733724440732565,0.5426627555926741,0.45733724440732565,0.5426627555926741
588.3138564273789,0.45594351702333313,0.5440564829766666,0.45594351702333313,0.5440564829766666
588.6477462437396,0.4545809327301199,0.5454190672698801,0.4545809327301199,0.5454190672698801
588.9816360601002,0.45324969029051804,0.5467503097094818,0.45324969029051804,0.5467503097094818
589.3155258764607,0.45194997414751553,0.5480500258524844,0.45194997414751553,0.5480500258524844
589.6494156928213,0.4506819543910316,0.5493180456089682,0.4506819543910316,0.5493180456089682
589.983305509182,0.449445786739324,0.5505542132606757,0.449445786739324,0.5505542132606757
590.3171953255426,0.4482416125349429,0.5517583874650571,0.4482416125349429,0.5517583874650571
590.6510851419032,0.4470695587550933,0.5529304412449068,0.4470695587550933,0.5529304412449068
590.9849749582638,0.44592973803628355,0.5540702619637163,0.44592973803628355,0.5540702619637163
591.3188647746243,0.44482224871308035,0.5551777512869195,0.44482224871308035,0.5551777512869195
591.652754590985,0.4437471748707738,0.5562528251292262,0.4437471748707738,0.5562528251292262
591.9866444073456,0.4427045864117421,0.5572954135882578,0.4427045864117421,0.5572954135882578
592.3205342237062,0.4416945391352681,0.5583054608647317,0.4416945391352681,0.5583054608647317
592.6544240400667,0.44071707483054734,0.5592829251694527,0.44071707483054734,0.5592829251694527
592.9883138564273,0.43977222138260097,0.5602277786173989,0.43977222138260097,0.5602277786173989
593.322203672788,0.43885999289078653,0.5611400071092132,0.43885999289078653,0.5611400071092132
593.6560934891486,0.43798038979959014,0.5620196102004098,0.43798038979959014,0.5620196102004098
593.9899833055092,0.4371333990413463,0.5628666009586538,0.4371333990413463,0.5628666009586538
594.3238731218698,0.4363189941905336,0.5636810058094663,0.4363189941905336,0.5636810058094663
594.6577629382303,0.4355371356292689,0.5644628643707309,0.4355371356292689,0.5644628643707309
594.991652754591,0.4347877707236089,0.565212229276391,0.4347877707236089,0.565212229276391
595.3255425709516,0.4340708340102562,0.5659291659897437,0.4340708340102562,0.5659291659897437
595.6594323873122,0.43338624739325643,0.5666137526067433,0.43338624739325643,0.5666137526067433
595.9933222036727,0.4327339203502553,0.5672660796497446,0.4327339203502553,0.5672660796497446
596.3272120200334,0.4321137501478827,0.567886249852117,0.4321137501478827,0.567886249852117
596.661101836394,0.4315256220658207,0.5684743779341791,0.4315256220658207,0.5684743779341791
596.9949916527546,0.430969409629094,0.5690305903709059,0.430969409629094,0.5690305903709059
597.3288814691152,0.4304449748481375,0.5695550251518624,0.4304449748481375,0.5695550251518624
597.6627712854759,0.4299521684661682,0.5700478315338313,0.4299521684661682,0.5700478315338313
597.9966611018364,0.42949083021339735,0.5705091697866024,0.42949083021339735,0.5705091697866024
598.330550918197,0.42906078906761586,0.570939210932384,0.42906078906761586,0.570939210932384
598.6644407345576,0.4286618635206772,0.5713381364793229,0.4286618635206772,0.5713381364793229
