角度(度),T_s_RCWA,T_s_理论,T_p_RCWA,T_p_理论,R_s_RCWA,R_s_理论,R_p_RCWA,R_p_理论
46.0,0.9044481669669246,0.9044481669669241,0.9044481669669246,0.9926575170105467,0.09555183303307575,0.09555183303307586,0.09555183303307575,0.007342482989453266
48.0,0.8966995800336018,0.8966995800336017,0.8966995800336018,0.9947975854732832,0.10330041996639837,0.10330041996639826,0.10330041996639837,0.00520241452671674
50.0,0.8879516427434859,0.887951642743486,0.8879516427434859,0.9967224678486754,0.11204835725651394,0.11204835725651394,0.11204835725651394,0.0032775321513246023
52.0,0.8780629035906194,0.8780629035906202,0.8780629035906194,0.9983259081477263,0.12193709640937987,0.12193709640937983,0.12193709640937987,0.001674091852273781
54.0,0.8668699549487633,0.8668699549487633,0.8668699549487633,0.9994724342309695,0.13313004505123682,0.13313004505123668,0.13313004505123682,0.000527565769030475
56.0,0.8541840678877346,0.8541840678877346,0.8541840678877346,0.9999895576576461,0.14581593211226537,0.14581593211226546,0.14581593211226537,1.0442342353900138e-05
58.0,0.8397873675402147,0.8397873675402145,0.8397873675402147,0.9996578216243778,0.16021263245978543,0.16021263245978548,0.16021263245978543,0.00034217837562224035
60.0,0.823428511917159,0.8234285119171596,0.823428511917159,0.998198062478415,0.17657148808284048,0.17657148808284046,0.17657148808284048,0.0018019375215850236
62.0,0.8048178434007114,0.8048178434007115,0.8048178434007114,0.9952550458119316,0.19518215659928864,0.1951821565992885,0.19518215659928864,0.0047449541880683855
64.0,0.783621992466637,0.7836219924666366,0.783621992466637,0.9903763601935387,0.21637800753336323,0.2163780075333634,0.21637800753336323,0.009623639806461354
66.0,0.7594579284473718,0.7594579284473713,0.7594579284473718,0.98298507038497,0.24054207155262858,0.24054207155262872,0.24054207155262858,0.01701492961503
68.0,0.731886473283312,0.7318864732833115,0.731886473283312,0.9723441040196472,0.2681135267166884,0.2681135267166886,0.2681135267166884,0.02765589598035284
70.0,0.7004053220666732,0.700405322066673,0.7004053220666732,0.957509607198398,0.29959467793332706,0.29959467793332695,0.29959467793332706,0.0424903928016021
72.0,0.6644416493723133,0.6644416493723132,0.6644416493723133,0.9372694598023085,0.33555835062768696,0.3355583506276868,0.33555835062768696,0.06273054019769152
74.0,0.6233444231171268,0.6233444231171268,0.6233444231171268,0.9100616462037139,0.37665557688287293,0.37665557688287316,0.37665557688287293,0.0899383537962861
76.0,0.5763765976493943,0.5763765976493943,0.5763765976493943,0.8738650102979346,0.4236234023506057,0.4236234023506057,0.4236234023506057,0.12613498970206533
78.0,0.522707413850784,0.5227074138507837,0.522707413850784,0.8260517414250965,0.47729258614921616,0.4772925861492164,0.47729258614921616,0.17394825857490345
80.0,0.46140509425042053,0.46140509425041953,0.46140509425042053,0.7631861963666353,0.5385949057495806,0.5385949057495805,0.5385949057495806,0.2368138036333647
