wavelength_nm,LCP_inc_R_LCP,LCP_inc_R_RCP,LCP_inc_R_total,LCP_inc_T_LCP,LCP_inc_T_RCP,LCP_inc_T_total,RCP_inc_R_LCP,RCP_inc_R_RCP,RCP_inc_R_total,RCP_inc_T_LCP,RCP_inc_T_RCP,RCP_inc_T_total,CD_transmission,CD_reflection
400.0,0.03706857701419917,0.7405742638664629,0.777642840880662,0.17138714499586918,0.11891846778205759,0.29030561277792677,0.7405742638664629,0.03706857701419917,0.777642840880662,0.11891846778205759,0.17138714499586918,0.29030561277792677,0.0,0.0
403.0,0.03823652306475638,0.7405511652153147,0.778787688280071,0.17095091280398944,0.11769726656223974,0.28864817936622916,0.7405511652153147,0.03823652306475638,0.778787688280071,0.11769726656223974,0.17095091280398944,0.28864817936622916,0.0,0.0
406.0,0.03944013022882279,0.7404175879189715,0.7798577181477943,0.17056845018400518,0.1165288898179346,0.28709734000193976,0.7404175879189715,0.03944013022882279,0.7798577181477943,0.1165288898179346,0.17056845018400518,0.28709734000193976,0.0,0.0
409.0,0.04067644890288912,0.740179707944403,0.7808561568472921,0.17023714885324137,0.11541081365897632,0.2856479625122177,0.740179707944403,0.04067644890288912,0.7808561568472921,0.11541081365897632,0.17023714885324137,0.2856479625122177,0.0,0.0
412.0,0.041942757184965304,0.7398432951087048,0.7817860522936702,0.1699545520077379,0.11434067155611002,0.28429522356384795,0.7398432951087048,0.041942757184965304,0.7817860522936702,0.11434067155611002,0.1699545520077379,0.28429522356384795,0.0,0.0
415.0,0.04323654133589423,0.7394137438989536,0.7826502852348479,0.16971834390864923,0.11331624330598504,0.28303458721463426,0.7394137438989536,0.04323654133589423,0.7826502852348479,0.11331624330598504,0.16971834390864923,0.28303458721463426,0.0,0.0
418.0,0.04455547806549586,0.7388961017381753,0.7834515798036712,0.16952634024064422,0.11233544482564148,0.2818617850662857,0.7388961017381753,0.04455547806549586,0.7834515798036712,0.11233544482564148,0.16952634024064422,0.2818617850662857,0.0,0.0
421.0,0.04589741846179023,0.7382950949186539,0.784192513380444,0.16937647918583446,0.11139631871411636,0.2807727978999508,0.7382950949186539,0.04589741846179023,0.784192513380444,0.11139631871411636,0.16937647918583446,0.2807727978999508,0.0,0.0
424.0,0.04726037340037526,0.7376151524049959,0.7848755258053711,0.16926681316006825,0.11049702552275129,0.2797638386828195,0.7376151524049959,0.04726037340037526,0.7848755258053711,0.11049702552275129,0.16926681316006825,0.2797638386828195,0.0,0.0
427.0,0.048642500287914905,0.7368604276919171,0.785502927979832,0.16919550116177137,0.10963583567970604,0.27883133684147743,0.7368604276919171,0.048642500287914905,0.785502927979832,0.10963583567970604,0.16919550116177137,0.27883133684147743,0.0,0.0
430.0,0.050042091008805606,0.7360348188855808,0.7860769098943864,0.16916080168683081,0.10881112201800441,0.27797192370483526,0.7360348188855808,0.050042091008805606,0.7860769098943864,0.10881112201800441,0.16916080168683081,0.27797192370483526,0.0,0.0
433.0,0.051457560957609005,0.7351419871624322,0.7865995481200412,0.16916106616623627,0.10802135286011377,0.27718241902635005,0.7351419871624322,0.051457560957609005,0.7865995481200412,0.10802135286011377,0.16916106616623627,0.27718241902635005,0.0,0.0
436.0,0.05288743905193079,0.7341853737458269,0.7870728127977578,0.16919473288630038,0.10726508561556312,0.2764598185018635,0.7341853737458269,0.05288743905193079,0.7870728127977578,0.10726508561556312,0.16919473288630038,0.2764598185018635,0.0,0.0
439.0,0.05433035863123808,0.7331682155282533,0.7874985741594913,0.16926032135423116,0.1065409608514148,0.275801282205646,0.7331682155282533,0.05433035863123808,0.7874985741594913,0.1065409608514148,0.16926032135423116,0.275801282205646,0.0,0.0
442.0,0.05578504915676587,0.7320935594555154,0.7878786086122812,0.16935642707462856,0.10584769679851873,0.2752041238731473,0.7320935594555154,0.05578504915676587,0.7878786086122812,0.10584769679851873,0.16935642707462856,0.2752041238731473,0.0,0.0
445.0,0.05725032863630794,0.7309642757788142,0.7882146044151221,0.16948171670510198,0.10518408425938242,0.2746658009644844,0.7309642757788142,0.05725032863630794,0.7882146044151221,0.10518408425938242,0.16948171670510198,0.2746658009644844,0.0,0.0
448.0,0.058725096705399785,0.729783070271183,0.7885081669765829,0.1696349235616686,0.10454898188620215,0.27418390544787075,0.729783070271183,0.058725096705399785,0.7885081669765829,0.10454898188620215,0.1696349235616686,0.27418390544787075,0.0,0.0
451.0,0.06020832830331167,0.7285524954960698,0.7887608237993815,0.1698148434468876,0.10394131180011722,0.2737561552470048,0.7285524954960698,0.06020832830331167,0.7887608237993815,0.10394131180011722,0.1698148434468876,0.2737561552470048,0.0,0.0
454.0,0.06169906788844075,0.7272749612080116,0.7889740290964523,0.17002033077581238,0.1033600555250688,0.2733803863008812,0.7272749612080116,0.06169906788844075,0.7889740290964523,0.1033600555250688,0.17002033077581238,0.2733803863008812,0.0,0.0
457.0,0.06319642414321265,0.7259527439581985,0.7891491681014112,0.17025029497681993,0.10280425021180492,0.2730545451886248,0.7259527439581985,0.06319642414321265,0.7891491681014112,0.10280425021180492,0.17025029497681993,0.2730545451886248,0.0,0.0
460.0,0.06469956512355175,0.7245879959712314,0.7892875610947832,0.17050369714620617,0.10227298512954676,0.2727766822757529,0.7245879959712314,0.06469956512355175,0.7892875610947832,0.10227298512954676,0.17050369714620617,0.2727766822757529,0.0,0.0
463.0,0.06620771381239846,0.7231827533534868,0.7893904671658852,0.17077954693711503,0.10176539840465912,0.27254494534177415,0.7231827533534868,0.06620771381239846,0.7893904671658852,0.10176539840465912,0.17077954693711503,0.27254494534177415,0.0,0.0
