wavelength_m,S,TTot,RTot,J11_real,J11_imag,J11_abs,J21_real,J21_imag,J21_abs,J12_real,J12_imag,J12_abs,J22_real,J22_imag,J22_abs
8.833333333333335e-07,1.7,0.9314340320019737,0.0685659679980261,-0.09864789955568139,-0.7832532141864551,0.7894409449858556,-1.8738288015491445e-18,1.258876055612575e-18,2.2574329006439548e-18,-1.600019241697084e-16,-5.0582020677708746e-17,1.6780690258105975e-16,-0.1289110173839881,-0.6929803412447222,0.7048686429077594
8.916666666666668e-07,1.7,0.9320748264238441,0.06792517357615678,-0.08447553094988475,-0.7851007022142,0.7896323371965556,-9.625968338861878e-18,-2.389222172418992e-18,9.918046634794062e-18,9.464744928130858e-17,4.91008393444616e-17,1.0662566332637048e-16,-0.11143475298603624,-0.7049910491023273,0.7137437099459855
9.000000000000001e-07,1.7,0.9325109705032105,0.06748902949679009,-0.07093972503579729,-0.7864618529033439,0.7896547920834239,5.0512248638988685e-17,4.701384075633489e-17,6.900571342453486e-17,-4.2083261288491635e-16,-2.822692375532124e-17,4.2177819679570277e-16,-0.09589047574628623,-0.711922041980068,0.7183508733174332
9.083333333333335e-07,1.7,0.9328374887159369,0.0671625112840624,-0.05787888109216272,-0.7874534537478015,0.7895776761635435,-1.396376415254444e-17,-5.439499070108662e-18,1.4985821947480828e-17,1.3564426922400893e-16,-4.840661702496938e-17,1.4402280494809656e-16,-0.08155644138420048,-0.7164026536830361,0.721029968403083
9.166666666666667e-07,1.7,0.9330937929884403,0.06690620701155879,-0.045220285868339406,-0.7881401609214748,0.7894363733141148,-1.2668271281849396e-17,-3.8601883546523465e-18,1.324334366404209e-17,-1.1313834912976859e-16,-1.0081176546155911e-16,1.5153645798713195e-16,-0.06809691821584775,-0.7194133562023195,0.7226290662246996
9.250000000000001e-07,1.7,0.9333003857168638,0.06669961428313584,-0.03292166964632184,-0.7885654751257031,0.7892523961905515,3.6797598419278764e-17,7.445654690978038e-18,3.754332195216335e-17,1.265882696383789e-16,-2.0152091250310464e-17,1.2818227955454593e-16,-0.05532783944534747,-0.7214244244921502,0.7235429289762427
9.333333333333334e-07,1.7,0.933469386360353,0.06653061363964548,-0.020954494725994095,-0.7887617476902385,0.7890400404723332,-4.030969099526347e-17,-1.3310642458004141e-17,4.2450493410306167e-17,-1.5388404430132277e-16,1.6149959778870414e-17,1.5472918370944313e-16,-0.04313748864450703,-0.7226968939839358,0.7239831790177056
9.416666666666668e-07,1.7,0.9336085706078621,0.066391429392137,-0.00929754637707453,-0.788754541998028,0.7888093381110245,-8.122873330196202e-18,3.767547712270614e-18,8.954076552199464e-18,3.245534042910886e-17,-7.08729519913495e-17,7.795078220478279e-17,-0.03145332888321751,-0.7233904901879714,0.7240739694204104
9.500000000000001e-07,1.7,0.9337232139597074,0.0662767860402924,0.002066003397828216,-0.788564897887021,0.7885676042988372,2.6434303540379502e-17,1.0768054182238899e-17,2.854335990272612e-17,-9.583124719329975e-18,-7.97736784636739e-17,8.034722182510023e-17,-0.020226105799601816,-0.7236100323621155,0.7238926538451116
9.583333333333334e-07,1.7,0.9338170386683091,0.06618296133169072,0.013150118000426892,-0.788210650739288,0.7883203381508541,-1.830890854955157e-18,-2.1221898240192495e-17,2.130073065037544e-17,1.5486983412603392e-16,-1.3707261288094463e-16,2.068177137583591e-16,-0.0094214795590656,-0.7234279975160018,0.7234893446811047
9.666666666666668e-07,1.7,0.933892744003876,0.06610725599612315,0.02396676180273833,-0.7877072653570166,0.7880717870648197,1.8415871244589357e-17,1.2828920787021008e-17,2.2443830382912647e-17,9.657151959822114e-16,8.291922400228484e-16,1.2728572624866742e-15,0.0009846773716508876,-0.7228965234245112,0.722897194052357
9.750000000000002e-07,1.7,0.9339523234476066,0.06604767655239155,0.03452642933338469,-0.7870683967572017,0.7878253204210087,1.677355876149575e-17,3.771089731590611e-18,1.7192247999870727e-17,3.1057061420199996e-14,-3.383940872131918e-15,3.124087258519134e-14,0.011009034099515161,-0.7220542470938834,0.7221381686201881
9.833333333333334e-07,1.7,0.9339972645111805,0.06600273548882056,0.04483848824489993,-0.7863062866025393,0.7875836884920628,-2.1918488843753938e-17,-1.476864895516134e-17,2.6429777622116952e-17,1.6122976797978153e-16,-4.138001352138063e-17,1.6645523002250131e-16,0.020662437236214606,-0.7209304167727054,0.7212264569056014
9.916666666666668e-07,1.7,0.9340286799015126,0.06597132009848912,0.05491141249233384,-0.7854320557605133,0.787349209333501,-1.1544973624920863e-17,-1.0654235105523897e-18,1.1594030500949882e-17,9.025831098476075e-16,6.103820447471737e-17,9.046446443701944e-16,0.029950854470423706,-0.7195474736968858,0.7201705496527048
1.0000000000000002e-06,1.7,0.9340473964732857,0.06595260352671488,0.06475294731724231,-0.784455929008624,0.7871239093961337,7.123989626485007e-17,2.852111018752311e-17,7.673706109928522e-17,-3.448330003679678e-16,-2.6936729133532608e-17,3.4588348546756055e-16,0.038875849964083005,-0.7179227310337707,0.7189745332384295
