theta_deg,wavelength_nm,LCP_inc_T_total,RCP_inc_T_total,LCP_inc_R_total,RCP_inc_R_total
-90.0,400.0,3.246386374320774e-09,3.246386374320774e-09,0.9999999967536133,0.9999999967536133
-90.0,402.0,4.081487213014958e-09,4.081487213014958e-09,0.9999999959185126,0.9999999959185126
-90.0,404.0,4.783496681112254e-09,4.783496681112254e-09,0.9999999952165027,0.9999999952165027
-90.0,406.0,5.20984403933277e-09,5.20984403933277e-09,0.9999999947901561,0.9999999947901561
-90.0,408.0,5.256390556938448e-09,5.256390556938447e-09,0.9999999947436096,0.9999999947436096
-90.0,410.0,4.898367964406366e-09,4.8983679644063646e-09,0.9999999951016313,0.9999999951016313
-90.0,412.0,4.206354681558852e-09,4.2063546815588515e-09,0.999999995793645,0.999999995793645
-90.0,414.0,3.324715210387418e-09,3.324715210387418e-09,0.9999999966752844,0.9999999966752844
-90.0,416.0,2.4204294672161075e-09,2.4204294672161075e-09,0.9999999975795699,0.9999999975795699
-90.0,418.0,1.6284178649068735e-09,1.6284178649068729e-09,0.9999999983715813,0.9999999983715813
-90.0,420.0,1.0198922935586933e-09,1.019892293558693e-09,0.9999999989801069,0.9999999989801069
-90.0,422.0,6.029157410720108e-10,6.029157410720105e-10,0.9999999993970842,0.9999999993970842
-90.0,424.0,3.449169888150724e-10,3.449169888150724e-10,0.9999999996550826,0.9999999996550826
-90.0,426.0,1.9958686470768267e-10,1.9958686470768267e-10,0.999999999800413,0.999999999800413
-90.0,428.0,1.2602714390176414e-10,1.260271439017641e-10,0.9999999998739729,0.9999999998739729
-90.0,430.0,9.810713528824916e-11,9.810713528824913e-11,0.9999999999018931,0.9999999999018931
-90.0,432.0,1.1190623760835479e-10,1.1190623760835472e-10,0.9999999998880934,0.9999999998880934
-90.0,434.0,2.2616436872480126e-10,2.2616436872480113e-10,0.9999999997738356,0.9999999997738356
-90.0,436.0,9.04388413950004e-10,9.043884139500039e-10,0.9999999990956115,0.9999999990956115
-90.0,438.0,6.589987352972222e-09,6.58998735297222e-09,0.9999999934100127,0.9999999934100127
-90.0,440.0,6.66081359073075e-08,6.66081359073075e-08,0.9999999333918642,0.9999999333918642
-90.0,442.0,6.825457916342114e-07,6.825457916342114e-07,0.9999993174542081,0.9999993174542081
-90.0,444.0,5.740075912644847e-06,5.740075912644847e-06,0.9999942599240872,0.9999942599240872
-90.0,446.0,3.6477081465114856e-05,3.6477081465114856e-05,0.9999635229185347,0.9999635229185347
-90.0,448.0,0.00017508723194147887,0.00017508723194147887,0.999824912768058,0.999824912768058
-90.0,450.0,0.0006548027325029766,0.0006548027325029766,0.9993451972674973,0.9993451972674973
-90.0,452.0,0.0019732674828486564,0.0019732674828486555,0.9980267325171512,0.9980267325171512
-90.0,454.0,0.004917917401215871,0.004917917401215871,0.9950820825987844,0.9950820825987843
-90.0,456.0,0.010272438578230377,0.010272438578230382,0.9897275614217694,0.9897275614217695
-90.0,458.0,0.01793686374819266,0.01793686374819266,0.9820631362518073,0.9820631362518073
-90.0,460.0,0.026073779039422762,0.026073779039422762,0.9739262209605769,0.9739262209605769
-90.0,462.0,0.03225427606312452,0.03225427606312451,0.9677457239368752,0.9677457239368752
-90.0,464.0,0.03568690494900645,0.035686904949006434,0.9643130950509936,0.9643130950509936
-90.0,466.0,0.03713534524081772,0.03713534524081772,0.9628646547591823,0.9628646547591826
-90.0,468.0,0.037545427297660146,0.037545427297660125,0.9624545727023395,0.9624545727023395
-90.0,470.0,0.03748901527698098,0.03748901527698097,0.9625109847230188,0.9625109847230185
-90.0,472.0,0.037265236970807664,0.03726523697080763,0.962734763029192,0.9627347630291925
-90.0,474.0,0.036953906327688336,0.0369539063276883,0.9630460936723114,0.9630460936723114
-90.0,476.0,0.03625630962729555,0.03625630962729553,0.9637436903727042,0.9637436903727044
-90.0,478.0,0.03464558686401571,0.034645586864015684,0.965354413135984,0.9653544131359839
-90.0,480.0,0.031892465526111614,0.03189246552611158,0.9681075344738882,0.9681075344738881
-90.0,482.0,0.02827987473206056,0.028279874732060548,0.9717201252679392,0.9717201252679392
-90.0,484.0,0.0243681597754252,0.02436815977542518,0.9756318402245744,0.9756318402245746
-90.0,486.0,0.02066236928070564,0.02066236928070562,0.9793376307192941,0.9793376307192944
-90.0,488.0,0.0174463700365655,0.01744637003656549,0.9825536299634341,0.9825536299634343
-90.0,490.0,0.014802039195904403,0.014802039195904388,0.9851979608040956,0.9851979608040956
-90.0,492.0,0.012695527100964622,0.012695527100964608,0.9873044728990354,0.9873044728990354
-90.0,494.0,0.011048341368141153,0.011048341368141144,0.9889516586318587,0.9889516586318587
-90.0,496.0,0.009776280748089427,0.009776280748089419,0.9902237192519106,0.9902237192519106
-90.0,498.0,0.008805569882026123,0.008805569882026113,0.9911944301179737,0.9911944301179737
-90.0,500.0,0.008077248169594195,0.008077248169594186,0.9919227518304056,0.9919227518304058
-90.0,502.0,0.007546663213991002,0.0075466632139909945,0.9924533367860088,0.9924533367860089
-90.0,504.0,0.007181434648536856,0.0071814346485368505,0.9928185653514626,0.9928185653514626
-90.0,506.0,0.006959311805806082,0.006959311805806073,0.9930406881941937,0.9930406881941937
-90.0,508.0,0.006866436696528215,0.00686643669652821,0.9931335633034718,0.9931335633034718
-90.0,510.0,0.006896146600734781,0.006896146600734778,0.9931038533992651,0.9931038533992652
-90.0,512.0,0.007048320526421135,0.0070483205264211275,0.9929516794735785,0.9929516794735787
-90.0,514.0,0.0073292503718386005,0.007329250371838598,0.9926707496281613,0.9926707496281616
-90.0,516.0,0.007752038880607272,0.007752038880607266,0.9922479611193927,0.9922479611193925
-90.0,518.0,0.008337567986476292,0.008337567986476288,0.9916624320135237,0.9916624320135237
-90.0,520.0,0.00911613557852449,0.00911613557852448,0.9908838644214755,0.9908838644214756
-90.0,522.0,0.010129926443805117,0.01012992644380511,0.9898700735561947,0.9898700735561947
-90.0,524.0,0.011436568131229457,0.011436568131229445,0.9885634318687707,0.9885634318687703
-90.0,526.0,0.013114130961300721,0.013114130961300718,0.986885869038699,0.986885869038699
-90.0,528.0,0.015268073787483957,0.015268073787483948,0.9847319262125157,0.984731926212516
-90.0,530.0,0.018040839671612827,0.018040839671612824,0.9819591603283868,0.9819591603283871
-90.0,532.0,0.021625155422633182,0.02162515542263317,0.9783748445773667,0.9783748445773667
-90.0,534.0,0.026282878806347082,0.026282878806347065,0.9737171211936528,0.9737171211936528
-90.0,536.0,0.032373352980689926,0.032373352980689905,0.9676266470193097,0.9676266470193099
-90.0,538.0,0.040400851877110774,0.04040085187711076,0.9595991481228887,0.959599148122889
-90.0,540.0,0.05110312513244052,0.051103125132440516,0.9488968748675597,0.9488968748675598
-90.0,542.0,0.06561906274343514,0.0656190627434351,0.9343809372565646,0.9343809372565647
-90.0,544.0,0.08575664454321245,0.08575664454321243,0.9142433554567876,0.9142433554567874
-90.0,546.0,0.11425042206255791,0.11425042206255787,0.8857495779374417,0.8857495779374417
-90.0,548.0,0.15467254617416698,0.154672546174167,0.8453274538258329,0.8453274538258329
-90.0,550.0,0.21064046415000925,0.21064046415000928,0.7893595358499907,0.7893595358499907
-90.0,552.0,0.2842131438372821,0.28421314383728224,0.7157868561627176,0.7157868561627176
-90.0,554.0,0.37353192360828846,0.3735319236082884,0.6264680763917113,0.6264680763917115
-90.0,556.0,0.47036053910530995,0.4703605391053101,0.5296394608946897,0.5296394608946896
-90.0,558.0,0.5597069417435886,0.5597069417435889,0.44029305825641113,0.440293058256411
-90.0,560.0,0.6239248300521959,0.6239248300521959,0.37607516994780393,0.3760751699478038
-90.0,562.0,0.6500438977405284,0.6500438977405285,0.34995610225947155,0.3499561022594715
-90.0,564.0,0.6351034275120031,0.6351034275120031,0.36489657248799684,0.364896572487997
-90.0,566.0,0.585985386151895,0.585985386151895,0.41401461384810484,0.4140146138481049
-90.0,568.0,0.515190465086645,0.5151904650866451,0.4848095349133548,0.48480953491335493
-90.0,570.0,0.4359064967001586,0.4359064967001587,0.5640935032998412,0.5640935032998411
-90.0,572.0,0.35855672890849544,0.3585567289084955,0.6414432710915043,0.6414432710915045
-90.0,574.0,0.28947622173982035,0.28947622173982035,0.7105237782601797,0.7105237782601798
-90.0,576.0,0.2312964719646553,0.2312964719646553,0.768703528035344,0.768703528035344
-90.0,578.0,0.18412966569962297,0.18412966569962297,0.8158703343003767,0.8158703343003767
-90.0,580.0,0.14677015489092793,0.14677015489092793,0.8532298451090717,0.853229845109072
-90.0,582.0,0.11754828968296707,0.11754828968296709,0.8824517103170325,0.8824517103170326
-90.0,584.0,0.09480648419023904,0.09480648419023902,0.9051935158097607,0.9051935158097607
-90.0,586.0,0.07710575044182923,0.07710575044182923,0.9228942495581705,0.9228942495581705
-90.0,588.0,0.06327982212675734,0.06327982212675734,0.9367201778732421,0.9367201778732421
-90.0,590.0,0.05241843150704109,0.05241843150704109,0.9475815684929589,0.9475815684929589
-90.0,592.0,0.04382549909756766,0.043825499097567666,0.9561745009024321,0.9561745009024323
-90.0,594.0,0.036974068221274234,0.036974068221274234,0.9630259317787254,0.9630259317787254
-90.0,596.0,0.031466629937188614,0.031466629937188614,0.9685333700628114,0.9685333700628114
-90.0,598.0,0.02700313926456522,0.02700313926456522,0.9729968607354346,0.9729968607354346
-90.0,600.0,0.023356369816056738,0.023356369816056738,0.9766436301839431,0.9766436301839431
-90.0,602.0,0.020353376884928703,0.020353376884928706,0.979646623115071,0.979646623115071
-90.0,604.0,0.017861728225652965,0.017861728225652962,0.982138271774347,0.982138271774347
-90.0,606.0,0.015779332178126014,0.015779332178126014,0.9842206678218738,0.9842206678218738
-90.0,608.0,0.014026931296979381,0.014026931296979378,0.9859730687030206,0.9859730687030206
-90.0,610.0,0.012542553130627354,0.012542553130627349,0.9874574468693724,0.9874574468693724
-90.0,612.0,0.011277392928834283,0.011277392928834281,0.9887226070711657,0.9887226070711653
-90.0,614.0,0.0101927439764941,0.010192743976494098,0.9898072560235054,0.9898072560235054
-90.0,616.0,0.009257696138716626,0.009257696138716624,0.9907423038612833,0.9907423038612833
-90.0,618.0,0.00844739986834928,0.00844739986834928,0.9915526001316506,0.9915526001316506
-90.0,620.0,0.007741748436545613,0.007741748436545611,0.9922582515634544,0.9922582515634544
-90.0,622.0,0.007124371171169089,0.007124371171169089,0.9928756288288303,0.9928756288288303
-90.0,624.0,0.006581859324856939,0.006581859324856935,0.9934181406751431,0.9934181406751431
-90.0,626.0,0.006103167002528385,0.0061031670025283825,0.9938968329974716,0.9938968329974716
-90.0,628.0,0.0056791446378051625,0.0056791446378051625,0.9943208553621949,0.9943208553621949
-90.0,630.0,0.005302173451193661,0.005302173451193661,0.994697826548806,0.994697826548806
-90.0,632.0,0.004965877312611778,0.004965877312611777,0.995034122687388,0.995034122687388
-90.0,634.0,0.004664894294278709,0.004664894294278708,0.9953351057057211,0.9953351057057211
-90.0,636.0,0.004394694526431848,0.004394694526431847,0.9956053054735678,0.9956053054735678
-90.0,638.0,0.004151434178589784,0.0041514341785897834,0.9958485658214102,0.9958485658214098
-90.0,640.0,0.003931837784643625,0.003931837784643625,0.9960681622153559,0.9960681622153559
-90.0,642.0,0.003733102927849479,0.003733102927849479,0.9962668970721497,0.9962668970721497
-90.0,644.0,0.003552822658607195,0.0035528226586071946,0.9964471773413924,0.9964471773413924
-90.0,646.0,0.003388922047623637,0.003388922047623637,0.9966110779523759,0.9966110779523759
-90.0,648.0,0.003239606062823047,0.0032396060628230466,0.9967603939371766,0.9967603939371763
-90.0,650.0,0.003103316561196723,0.003103316561196722,0.9968966834388029,0.9968966834388029
-90.0,652.0,0.0029786966517030447,0.002978696651703044,0.9970213033482964,0.9970213033482964
-90.0,654.0,0.0028645610457224617,0.0028645610457224617,0.9971354389542776,0.9971354389542776
-90.0,656.0,0.002759871292335967,0.0027598712923359667,0.997240128707664,0.997240128707664
-90.0,658.0,0.0026637150154871446,0.002663715015487144,0.9973362849845129,0.9973362849845129
-90.0,660.0,0.0025752884429585065,0.0025752884429585065,0.9974247115570414,0.9974247115570414
-90.0,662.0,0.0024938816536845265,0.0024938816536845265,0.9975061183463154,0.9975061183463154
-90.0,664.0,0.0024188660783289657,0.0024188660783289657,0.9975811339216709,0.9975811339216709
-90.0,666.0,0.0023496838744612885,0.0023496838744612885,0.9976503161255386,0.9976503161255386
-90.0,668.0,0.0022858388668295167,0.0022858388668295163,0.9977141611331704,0.9977141611331704
-90.0,670.0,0.0022268887988100127,0.0022268887988100123,0.9977731112011899,0.9977731112011899
-90.0,672.0,0.002172438685962629,0.002172438685962629,0.997827561314037,0.997827561314037
-90.0,674.0,0.00212213509894307,0.00212213509894307,0.997877864901057,0.997877864901057
-90.0,676.0,0.0020756612325535744,0.0020756612325535744,0.9979243387674465,0.9979243387674465
-90.0,678.0,0.0020327326418059,0.0020327326418058994,0.9979672673581942,0.9979672673581942
-90.0,680.0,0.0019930935455959964,0.0019930935455959964,0.998006906454404,0.998006906454404
-90.0,682.0,0.001956513614795994,0.001956513614795994,0.998043486385204,0.998043486385204
-90.0,684.0,0.0019227851749268252,0.001922785174926825,0.998077214825073,0.998077214825073
-90.0,686.0,0.0018917207646217322,0.0018917207646217322,0.9981082792353781,0.9981082792353781
-90.0,688.0,0.0018631510002548228,0.0018631510002548228,0.9981368489997451,0.9981368489997451
-90.0,690.0,0.0018369227047347497,0.0018369227047347497,0.998163077295265,0.998163077295265
-90.0,692.0,0.0018128972648290634,0.001812897264829063,0.9981871027351714,0.9981871027351714
-90.0,694.0,0.0017909491867140626,0.0017909491867140626,0.9982090508132855,0.9982090508132855
-90.0,696.0,0.001770964823920011,0.0017709648239200109,0.99822903517608,0.99822903517608
-90.0,698.0,0.0017528412556112043,0.0017528412556112043,0.9982471587443884,0.9982471587443884
-90.0,700.0,0.001736485296324535,0.0017364852963245349,0.9982635147036754,0.9982635147036754
-90.0,702.0,0.0017218126209893865,0.0017218126209893863,0.9982781873790102,0.9982781873790102
-90.0,704.0,0.0017087469913460915,0.0017087469913460913,0.9982912530086536,0.9982912530086536
-90.0,706.0,0.0016972195718384909,0.001697219571838491,0.9983027804281613,0.9983027804281613
-90.0,708.0,0.0016871683247326604,0.0016871683247326606,0.9983128316752675,0.9983128316752675
-90.0,710.0,0.0016785374756562678,0.0016785374756562682,0.9983214625243434,0.9983214625243434
-90.0,712.0,0.0016712770419991634,0.0016712770419991634,0.9983287229580007,0.9983287229580007
-90.0,714.0,0.0016653424176983553,0.0016653424176983553,0.9983346575823017,0.9983346575823017
-90.0,716.0,0.0016606940088773922,0.0016606940088773928,0.9983393059911223,0.9983393059911225
-90.0,718.0,0.0016572969156437422,0.0016572969156437422,0.9983427030843566,0.9983427030843566
-90.0,720.0,0.0016551206560889464,0.0016551206560889455,0.9983448793439108,0.9983448793439108
